concurrency,root_trace_id,conversation_id,source_outer_idx,source_inner_idx,turn_index,worker_id,input_sequence_length,logical_prompt_tokens,cache_read_tokens,new_prompt_tokens,output_tokens,ttft_ms,itl_ms,e2e_ms,match_class
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,0.0,0,worker_3bc7b03f,30925.0,,,,125.0,1666.0028129999998,10.46265308064516,2963.371795,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,1.0,1,worker_3bc7b03f,33103.0,,,,197.0,3364.86239,10.335292734693876,5390.579766,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,2.0,2,worker_3bc7b03f,39503.0,,30912.0,,209.0,917.273817,10.286054125,3056.773075,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,0.0,0,worker_3bc7b03f,30861.0,,30080.0,,182.0,910.319815,16.937705580110496,3976.044525,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,3.0,3,worker_3bc7b03f,46355.0,,33088.0,,205.0,1144.375659,10.64559268627451,3316.076567,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,1.0,1,worker_3bc7b03f,33804.0,,30080.0,,120.0,919.804453,16.889477243697478,2929.6522449999998,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,4.0,4,worker_3bc7b03f,51097.0,,39488.0,,204.0,1480.551194,16.593666561576356,4849.065506,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,2.0,2,worker_3bc7b03f,38797.0,,33792.0,,222.0,1460.3167369999999,15.563513574660632,4899.853236999999,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,0.0,0,worker_3bc7b03f,30797.0,,30080.0,,125.0,1909.853613,20.17064519354839,4411.013617,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,7,,7,worker_3bc7b03f,61263.0,,55424.0,,4091.0,837.1556989999999,10.666009498533006,44461.134547999995,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,3.0,3,worker_3bc7b03f,46351.0,,30848.0,,141.0,1265.64005,10.208111357142856,2694.77564,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,1.0,1,worker_3bc7b03f,33231.0,,30080.0,,140.0,1262.143593,10.95709864028777,2785.180304,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,5.0,5,worker_3bc7b03f,57436.0,,51072.0,,207.0,1772.239022,11.634868519417475,4169.0219369999995,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,4.0,4,worker_3bc7b03f,47636.0,,46336.0,,219.0,944.848625,10.343344660550457,3199.697761,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,2.0,2,worker_3bc7b03f,48004.0,,33216.0,,138.0,1268.859231,10.960679153284671,2770.472275,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,6.0,6,worker_3bc7b03f,62367.0,,57408.0,,200.0,1045.543971,10.832007502512562,3201.113464,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,5.0,5,worker_3bc7b03f,51988.0,,47616.0,,222.0,942.0543889999999,10.260714425339367,3209.6722769999997,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,3.0,3,worker_3bc7b03f,66440.0,,30784.0,,139.0,2611.243353,10.799549775362317,4101.581222,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,6.0,6,worker_3bc7b03f,53144.0,,38784.0,,219.0,1458.826763,15.783192201834863,4899.562663,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,7.0,7,worker_3bc7b03f,67808.0,,46336.0,,145.0,2778.027724,10.457509583333334,4283.909103999999,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,4.0,4,worker_3bc7b03f,71240.0,,66432.0,,229.0,1229.133501,10.844842192982455,3701.757521,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,7.0,7,worker_3bc7b03f,54935.0,,51968.0,,227.0,1098.3037689999999,11.114612969026549,3610.2063,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,8.0,8,worker_3bc7b03f,83165.0,,67776.0,,142.0,1574.215749,10.996494929078015,3124.721534,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,9.0,9,worker_3bc7b03f,86815.0,,83136.0,,141.0,1475.916483,13.68837742142857,3392.2893219999996,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,8.0,8,worker_3bc7b03f,56669.0,,53120.0,,219.0,1151.964233,13.429947958715596,4079.692888,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,5.0,5,worker_3bc7b03f,72268.0,,48000.0,,308.0,1705.642689,16.39735821498371,6739.631660999999,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,10.0,10,worker_3bc7b03f,89572.0,,62336.0,,140.0,1958.151504,10.596579863309351,3431.0761049999996,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,9.0,9,worker_3bc7b03f,60129.0,,54912.0,,221.0,2171.990947,10.983429495454546,4588.345436,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,6.0,6,worker_3bc7b03f,72974.0,,71232.0,,231.0,1808.1984289999998,10.935573669565217,4323.380373,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,9,10.0,10,worker_3bc7b03f,61157.0,,60096.0,,216.0,1950.684178,10.541469497674418,4217.10012,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,8,11.0,11,worker_3bc7b03f,96487.0,,86784.0,,293.0,1855.388003,10.819518078767123,5014.687282,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,7.0,7,worker_3bc7b03f,74321.0,,72960.0,,240.0,1573.848988,10.667862225941423,4123.46806,loader_metadata_turn_match
12,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,10,8.0,8,worker_3bc7b03f,74901.0,,72256.0,,84.0,1211.9223399999998,10.872542771084335,2114.34339,loader_metadata_turn_match
