exact_source_key,left_concurrency,right_concurrency,left_record_count,right_record_count,left_source_trace_id,left_source_outer_idx,left_source_inner_idx,left_source_outer_idx_exact_key_normalized,left_source_inner_idx_exact_key_normalized,left_source_request_index,left_source_conversation_path,right_source_conversation_path,left_source_branch_type,right_source_branch_type,left_turn_index,right_turn_index,source_path_validation,turn_index_validation,match_validation_status,left_benchmark_phase,right_benchmark_phase,left_input_sequence_length,right_input_sequence_length,left_source_input_tokens,right_source_input_tokens,left_output_tokens,right_output_tokens,same_output_length,left_ttft_ms,right_ttft_ms,ttft_ratio_right_over_left,left_itl_ms,right_itl_ms,itl_ratio_right_over_left,left_decode_tps,right_decode_tps,decode_tps_ratio_right_over_left,left_e2e_ms,right_e2e_ms,e2e_ratio_right_over_left,strict_ttft_subset,strict_decode_subset,matching_method
07dd40536557a1d6440a923557c3129dc929|10|5,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,5.0,10.0,5.0,107.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,5.0,5.0,match,match,high_confidence_exact,profiling,profiling,72269.0,72268.0,72256.0,72256.0,308.0,308.0,True,1179.590183,1705.642689,1.445962092243014,10.70405883061889,16.39735821498371,1.531882295721243,93.42250596937177,60.98543356125573,0.6527916686504811,4465.736244,6739.631660999999,1.5091871290103893,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|6,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,6.0,10.0,6.0,108.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,6.0,6.0,match,match,high_confidence_exact,profiling,profiling,72975.0,72974.0,72960.0,72960.0,231.0,231.0,True,855.0807189999999,1808.1984289999998,2.114652323250432,10.293104369565217,10.935573669565217,1.0624174473446186,97.15242011504448,91.44467681499864,0.9412496024979417,3222.4947239999997,4323.380373,1.341625275846379,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|7,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,7.0,10.0,7.0,109.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,7.0,7.0,match,match,high_confidence_exact,profiling,profiling,74322.0,74321.0,74304.0,74304.0,240.0,240.0,True,1008.331741,1573.848988,1.5608444364145033,10.891603744769874,10.667862225941423,0.9794574312404736,91.81384334517293,93.73949333243769,1.020973416612409,3611.4250359999996,4123.46806,1.1417842039903277,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|8,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,8.0,10.0,8.0,110.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,8.0,8.0,match,match,high_confidence_exact,profiling,profiling,74902.0,74901.0,74880.0,74880.0,84.0,84.0,True,880.408519,1211.9223399999998,1.3765454488974564,10.835250867469878,10.872542771084335,1.003441720369061,92.2913564467851,91.97480488736385,0.9965700844411819,1779.7343409999999,2114.34339,1.1880106717567687,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|9,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,9.0,10.0,9.0,111.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,9.0,9.0,match,match,high_confidence_exact,profiling,profiling,75482.0,75481.0,75456.0,75456.0,112.0,112.0,True,740.397705,1050.816984,1.419260185308111,14.73393745045045,10.875645234234234,0.7381357000332414,67.87052024368596,91.94856750680053,1.3547644423037197,2375.8647619999997,2258.013605,0.9503965213488024,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|11|-1,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,11.0,,11.0,-1.0,118.0,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,root,root,8.0,8.0,match,match,high_confidence_exact,profiling,profiling,72716.0,72715.0,72704.0,72704.0,2.0,2.0,True,6376.332963,3587.0367739999997,0.562554809294704,34.257912999999995,35.915908,1.048397431565665,29.19033625895425,27.84281550114228,0.9538367511131834,6410.590875999999,3622.9526819999996,0.5651511306958656,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|7|-1,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,7.0,,7.0,-1.0,7.0,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,root,root,7.0,7.0,match,match,high_confidence_exact,profiling,profiling,61264.0,61263.0,61248.0,61248.0,4091.0,4091.0,True,1155.2709109999998,837.1556989999999,0.7246401610470395,10.523174633251834,10.666009498533006,1.0135733626266956,95.02835739702854,93.75577624767156,0.9866084063303322,44195.055161,44461.134547999995,1.0060205691797575,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|0,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,0.0,8.0,0.0,8.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,0.0,0.0,match,match,high_confidence_exact,profiling,profiling,30926.0,30925.0,30912.0,30912.0,125.0,125.0,True,1531.2402519999998,1666.0028129999998,1.0880087633694207,10.728569322580645,10.46265308064516,0.9752141936226477,93.20907289057442,95.57805198089746,1.0254157563942747,2861.582848,2963.371795,1.035570854456002,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|1,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,1.0,8.0,1.0,9.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,1.0,1.0,match,match,high_confidence_exact,profiling,profiling,33104.0,33103.0,33088.0,33088.0,197.0,197.0,True,2097.9133659999998,3364.86239,1.6039091244342643,10.753431025510205,10.335292734693876,0.9611158252817743,92.99357550420092,96.75584675440925,1.0404573243883752,4205.585846999999,5390.579766,1.2817666698791323,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|8|10,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,8.0,10.0,8.0,10.0,18.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,subagent,10.0,10.0,match,match,high_confidence_exact,profiling,profiling,89573.0,89572.0,89536.0,89536.0,140.0,140.0,True,1656.3692489999999,1958.151504,1.1821950360296747,10.655752489208632,10.596579863309351,0.9944468843510389,93.84602363960002,94.37007156077775,1.0055841249405542,3137.518845,3431.0761049999996,1.0935635049548202,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
