profiled_request_count,root_id_count,worker_count_observed,input_sequence_length_total,usage_prompt_tokens_total,logical_prompt_tokens_total,output_tokens_total,cache_read_tokens_total,cache_read_ratio,new_prompt_tokens_total,kv_write_eligible_tokens_total,wall_span_s,cumulative_request_latency_s,logical_input_tps,raw_profile_cache_counter_tps,raw_profile_cache_counter_status,new_prompt_tps,kv_write_eligible_tps,wall_output_tps,ttft_mean_ms,ttft_median_ms,ttft_p75_ms,ttft_p90_ms,ttft_p95_ms,ttft_max_ms,itl_sample_count,itl_weighted_ms,weighted_decode_tps,itl_median_ms,itl_p90_ms,e2e_mean_ms,e2e_median_ms,e2e_p90_ms,e2e_p95_ms,e2e_max_ms,mtp_draft_tokens_total,mtp_accepted_tokens_total,mtp_acceptance_rate_mean,mtp_acceptance_length_mean,concurrency,all_request_count,warmup_count,profiling_phase_count,error_count_all_rows,cancellation_count_all_rows,profiling_filter,weighting_primary_decode_tps
957,14,8,79114864.0,79114864.0,,760694.0,90329344.0,,,,3613.666317568,14339.339675136998,,24996.592397272503,profile_counter_scope_unvalidated,,,210.50477082010926,6399.0914568787875,1471.051316,5576.799265,18344.230512799997,26937.007524399993,171637.722552,853,10.813490919757758,92.47707400140878,10.716642911290323,11.90085407663384,14983.636024176592,7539.518526999999,33029.463884799996,49615.78091599998,210080.94449999998,,,,,8,1044,87,957,0,0,benchmark_phase=profiling; no error/cancellation; nonnegative tokens; positive TTFT/E2E,output-transition-token-weighted ITL
1072,19,12,93451005.0,93451005.0,,875495.0,87474624.0,,,,3603.61078016,24629.171310072994,,24274.159818146658,profile_counter_scope_unvalidated,,,242.9493786676729,14039.47568637873,4337.1913465,18107.27557825,37845.84915929999,52777.76290624998,183154.698577,916,10.95448469936747,91.2868133411827,10.78404989286231,12.021569230978626,22974.97323700839,12353.616569999998,53606.76486909999,78939.93772924991,412139.347084,,,,,12,1203,131,1072,0,0,benchmark_phase=profiling; no error/cancellation; nonnegative tokens; positive TTFT/E2E,output-transition-token-weighted ITL
969,24,16,87265916.0,87265916.0,,859611.0,50961856.0,,,,3628.384455424,42839.530949844004,,14045.32971246146,profile_counter_scope_unvalidated,,,236.91287694582215,34544.06715414654,22688.679092,51189.942271,86235.62194460005,115536.23279079997,262174.555499,853,10.908306229460006,91.67326062952883,10.772135344827586,12.219336958330754,44210.04225990093,31078.842139999997,99244.1977634,137019.29619339987,357848.741942,,,,,16,1146,177,969,0,0,benchmark_phase=profiling; no error/cancellation; nonnegative tokens; positive TTFT/E2E,output-transition-token-weighted ITL
