timestamp_ns,event_type,event_order_at_timestamp,row_position,delta,root_delta,subagent_delta,unknown_branch_delta,inflight_after_event,root_inflight,subagent_inflight,unknown_branch_inflight,profiling_inflight
1786166942764897792,end,0,39,-1,-1,0,0,3,3,0,0,3
1786166944703726592,end,0,40,-1,-1,0,0,2,2,0,0,2
1786166945036399104,start,0,41,1,1,0,0,3,3,0,0,3
1786166945268999168,start,0,42,1,1,0,0,4,4,0,0,4
1786166949150205952,end,0,41,-1,-1,0,0,3,3,0,0,3
1786166951513163776,start,0,43,1,1,0,0,4,4,0,0,4
1786166951558075648,end,0,42,-1,-1,0,0,3,3,0,0,3
1786166955231246848,start,0,44,1,1,0,0,4,4,0,0,4
1786166957084886784,end,0,43,-1,-1,0,0,3,3,0,0,3
1786166958137736448,end,0,44,-1,-1,0,0,2,2,0,0,2
1786166959689364480,start,0,45,1,1,0,0,3,3,0,0,3
1786166963681786112,end,0,45,-1,-1,0,0,2,2,0,0,2
1786166965515096576,start,0,46,1,1,0,0,3,3,0,0,3
1786166968057661952,end,0,46,-1,-1,0,0,2,2,0,0,2
1786166969631015424,start,0,48,1,1,0,0,3,3,0,0,3
1786166972329927680,start,0,49,1,1,0,0,4,4,0,0,4
1786166974016082688,end,0,47,-1,-1,0,0,3,3,0,0,3
1786166974444097792,end,0,48,-1,-1,0,0,2,2,0,0,2
1786166974514754048,end,0,49,-1,-1,0,0,1,1,0,0,1
1786166975613876992,start,0,60,1,1,0,0,2,2,0,0,2
1786166976630000896,start,0,51,1,1,0,0,3,3,0,0,3
1786166979370737920,start,0,50,1,1,0,0,4,4,0,0,4
1786166981590726912,end,0,50,-1,-1,0,0,3,3,0,0,3
1786166982687582720,end,0,51,-1,-1,0,0,2,2,0,0,2
1786166984343848192,start,0,52,1,1,0,0,3,3,0,0,3
1786166986023432704,start,0,53,1,1,0,0,4,4,0,0,4
1786166986777869568,end,0,52,-1,-1,0,0,3,3,0,0,3
1786166987575930624,end,0,53,-1,-1,0,0,2,2,0,0,2
1786166988467596544,start,0,54,1,1,0,0,3,3,0,0,3
1786166988470169600,start,0,55,1,1,0,0,4,4,0,0,4
1786166990607528448,end,0,54,-1,-1,0,0,3,3,0,0,3
1786166990821619968,end,0,55,-1,-1,0,0,2,2,0,0,2
1786166992072503552,start,0,56,1,1,0,0,3,3,0,0,3
1786166992448110336,start,0,57,1,1,0,0,4,4,0,0,4
1786166994120335616,end,0,56,-1,-1,0,0,3,3,0,0,3
1786166995321256704,end,0,57,-1,-1,0,0,2,2,0,0,2
1786166996982605312,start,0,58,1,1,0,0,3,3,0,0,3
1786166998734176256,start,0,59,1,1,0,0,4,4,0,0,4
1786166999141450496,end,0,58,-1,-1,0,0,3,3,0,0,3
1786167000294999040,end,0,59,-1,-1,0,0,2,2,0,0,2
1786167000299121408,start,0,61,1,0,1,0,3,2,1,0,3
1786167000300779264,start,0,63,1,0,1,0,4,2,2,0,4
1786167000983984896,start,0,62,1,1,0,0,5,3,2,0,5
1786167002326526464,start,0,67,1,0,1,0,6,3,3,0,6
1786167004343469824,end,0,60,-1,-1,0,0,5,2,3,0,5
1786167005618854912,end,0,61,-1,0,-1,0,4,2,2,0,4
1786167005734980864,end,0,62,-1,-1,0,0,3,1,2,0,3
1786167005910826240,start,0,64,1,1,0,0,4,2,2,0,4
1786167006279308288,start,0,65,1,0,1,0,5,2,3,0,5
1786167006457807104,end,0,63,-1,0,-1,0,4,2,2,0,4
1786167007029067008,start,0,75,1,0,1,0,5,2,3,0,5
1786167007521195776,start,0,66,1,1,0,0,6,3,3,0,6
1786167009200588288,end,0,64,-1,-1,0,0,5,2,3,0,5
1786167009706050560,end,0,65,-1,0,-1,0,4,2,2,0,4
1786167010118167296,end,0,66,-1,-1,0,0,3,1,2,0,3
1786167010256346112,start,0,69,1,0,1,0,4,1,3,0,4
1786167010512430336,start,0,70,1,1,0,0,5,2,3,0,5
1786167011824093696,start,0,68,1,1,0,0,6,3,3,0,6
1786167012838933248,end,0,67,-1,0,-1,0,5,3,2,0,5
1786167013851939328,end,0,68,-1,-1,0,0,4,2,2,0,4
1786167014534870784,end,0,69,-1,0,-1,0,3,2,1,0,3
1786167015600832256,start,0,71,1,1,0,0,4,3,1,0,4
1786167016444409088,start,0,72,1,0,1,0,5,3,2,0,5
1786167016836678656,end,0,70,-1,-1,0,0,4,2,2,0,4
1786167017800596736,start,0,74,1,0,1,0,5,2,3,0,5
1786167018130632704,start,0,87,1,1,0,0,6,3,3,0,6
1786167019344317440,end,0,71,-1,-1,0,0,5,2,3,0,5
1786167020132395008,end,0,72,-1,0,-1,0,4,2,2,0,4
1786167020722587904,start,0,77,1,0,1,0,5,2,3,0,5
1786167021060704000,start,0,73,1,1,0,0,6,3,3,0,6
1786167026471657984,end,0,73,-1,-1,0,0,5,2,3,0,5
1786167026740523520,end,0,74,-1,0,-1,0,4,2,2,0,4
1786167028245486848,start,0,96,1,1,0,0,5,3,2,0,5
1786167029017429760,start,0,78,1,1,0,0,6,4,2,0,6
1786167029946902528,start,0,79,1,1,0,0,7,5,2,0,7
1786167029984762112,start,0,76,1,0,1,0,8,5,3,0,8
1786167037822985984,end,0,75,-1,0,-1,0,7,5,2,0,7
1786167039054285824,end,0,76,-1,0,-1,0,6,5,1,0,6
1786167040311475456,start,0,80,1,0,1,0,7,5,2,0,7
1786167041653082368,start,0,82,1,0,1,0,8,5,3,0,8
1786167041758045440,end,0,77,-1,0,-1,0,7,5,2,0,7
