profiled_request_count,root_id_count,worker_count_observed,input_sequence_length_total,usage_prompt_tokens_total,logical_prompt_tokens_total,output_tokens_total,cache_read_tokens_total,cache_read_ratio,new_prompt_tokens_total,kv_write_eligible_tokens_total,wall_span_s,cumulative_request_latency_s,logical_input_tps,cache_load_tps,new_prompt_tps,kv_write_eligible_tps,wall_output_tps,ttft_mean_ms,ttft_median_ms,ttft_p75_ms,ttft_p90_ms,ttft_p95_ms,ttft_max_ms,itl_sample_count,itl_weighted_ms,weighted_decode_tps,itl_median_ms,itl_p90_ms,e2e_mean_ms,e2e_median_ms,e2e_p90_ms,e2e_p95_ms,e2e_max_ms,mtp_draft_tokens_total,mtp_accepted_tokens_total,mtp_acceptance_rate_mean,mtp_acceptance_length_mean,id_label,root_trace_id,concurrency,all_request_count,warmup_count,error_count,cancellation_count,sample_quality
119,1,1,9915281.0,9915281.0,,37635.0,9089152.0,,,,482.6908288,737.2314233299999,,18830.173389861597,,,77.96916318787949,2709.924047873949,1080.569611,1655.558172,3326.1389562000004,6497.038351999993,70141.215556,119,11.055295384182747,90.45438997774225,10.897762362204725,12.34057079387755,6195.222044789915,3604.6599459999998,8113.727795400004,18720.847709499976,73490.143287,,,,,ID03,07dd40536557a1d6440a923557c3129dc929,8,119,0,0,0,observed
112,1,1,9547239.0,9547239.0,,31875.0,8184192.0,,,,836.78873344,1147.871664306,,9780.475851240448,,,38.092052063085674,7037.980962714285,1729.7210515,4049.5931152499998,17659.151181700006,27469.335389649983,110234.664873,112,11.321909028807104,88.32432741295058,10.826583931784434,13.823154662396023,10248.854145589285,4614.447884499999,22447.896527300007,36673.43244634984,112585.042126,,,,,ID03,07dd40536557a1d6440a923557c3129dc929,12,119,7,0,0,observed
13,1,1,1385601.0,1385601.0,,3925.0,1089984.0,,,,301.853785856,280.899599372,,3610.9668027154685,,,13.002984172848604,18173.710029846152,1647.9248659999998,17405.054607,41057.591277800006,73862.05231399988,121981.14540499999,13,11.411392889570552,87.63172118225378,10.899657081818182,15.403057474178503,21607.66149015385,7859.799027,41702.6982828,74987.08601279987,124065.59550299999,,,,,ID03,07dd40536557a1d6440a923557c3129dc929,16,26,13,0,0,observed
