component,worker_id,metric,timeslice_sample_count,rank_envelope_max_of_min,rank_envelope_p50_of_median,rank_envelope_p90_of_median,rank_envelope_p95_of_median,rank_envelope_max,unique_worker_value,status,rank_semantics_verdict,reconstruction_method,notes
prefill,694d9fdfb4d8ee13,rank-envelope running requests,3615,4.0,0.0,1.0,1.0,4.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee13,rank-envelope waiting/queue requests,3615,5.0,0.0,0.0,1.0,5.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee13,rank-envelope prefill bootstrap queue,3615,5.0,0.0,1.0,1.0,5.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee13,rank-envelope prefill inflight queue,3615,3.0,0.0,1.0,1.0,3.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee15,rank-envelope running requests,3622,5.0,0.0,1.0,1.0,5.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee15,rank-envelope waiting/queue requests,3622,5.0,0.0,0.0,1.0,5.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee15,rank-envelope prefill bootstrap queue,3622,2.0,0.0,1.0,1.0,2.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
prefill,694d9fdfb4d8ee15,rank-envelope prefill inflight queue,3622,4.0,0.0,1.0,1.0,4.0,Unknown,Strong inference,unresolved,TP/CP rank envelope (min/median/max); no rank sum or worker unique union,Do not read rank_envelope_max as a validated logical worker request count.
