exact_source_key,source_request_index,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,request_start_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end,x_request_id
07dd40536557a1d6440a923557c3129dc929|8|5,13,8,5.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168147490774528,1786168150538602752,779.087998,11.012606800970872,3047.684999,207.0,4,5,2,3,5,4,2b0f9ebb-6a15-4d99-927b-aeb5c998d6f4
07dd40536557a1d6440a923557c3129dc929|10|1,103,10,1.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168149138748672,1786168151319292416,666.473083,10.8903355323741,2180.229722,140.0,4,5,2,3,4,3,8aae8c14-54a8-45b6-867c-0dcdd6a5a6da
07dd40536557a1d6440a923557c3129dc929|9|4,44,9,4.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168150184329984,1786168153359179520,829.389859,10.758505573394496,3174.7440739999997,219.0,4,5,2,3,4,3,ee172f37-8f3c-496f-8423-12a05cf92c2a
07dd40536557a1d6440a923557c3129dc929|8|6,14,8,6.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168151725042688,1786168155403269120,1593.6717409999999,10.47453669849246,3678.104544,200.0,2,3,1,2,3,2,e557089d-8d5e-44c3-b0fc-870bf78ed294
07dd40536557a1d6440a923557c3129dc929|10|2,104,10,2.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168152077411584,1786168154860472832,1312.0290169999998,10.7365610729927,2782.937884,138.0,3,4,1,3,4,3,6314bdc4-6464-45b0-b68f-d6671794faf8
07dd40536557a1d6440a923557c3129dc929|9|5,45,9,5.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168154352782080,1786168157393906176,766.5245639999999,10.291791438914027,3041.010472,222.0,3,4,1,3,2,1,3e6ee963-7f74-4144-80b5-7bbe5f517211
07dd40536557a1d6440a923557c3129dc929|10|3,105,10,3.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168157796403456,1786168162871544064,3603.6273079999996,10.655618956521737,5074.102723999999,139.0,1,2,1,1,5,4,55e0bef1-5f86-42c5-88ca-1cf6657eadb3
07dd40536557a1d6440a923557c3129dc929|9|6,46,9,6.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168158395809024,1786168163690841600,2978.89506,10.623979,5294.922482,219.0,2,3,1,2,3,2,404fd9ab-2141-4813-88b7-0f80ade15836
07dd40536557a1d6440a923557c3129dc929|8|7,15,8,7.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168159672117760,1786168162998421248,1806.057681,10.5556995,3326.0784089999997,145.0,3,4,1,3,4,3,578510d2-6046-4544-812a-944787e36841
07dd40536557a1d6440a923557c3129dc929|10|4,106,10,4.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168164192743936,1786168167996135680,1432.965809,10.395934942982455,3803.2389759999996,229.0,2,3,2,1,4,3,f67ab071-4a99-44ac-acc7-2ba5de23101c
07dd40536557a1d6440a923557c3129dc929|8|8,16,8,8.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168164331244288,1786168207088642560,41283.290926999995,10.453515921985815,42757.236672,142.0,3,4,2,2,3,2,e953fdd3-73bb-40db-9ef8-cf1777f9f781
07dd40536557a1d6440a923557c3129dc929|9|7,47,9,7.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168164843596032,1786168168094538752,814.6512409999999,10.779368853982302,3250.7886019999996,227.0,3,4,1,3,3,2,a9d3b8ef-5ecb-4dad-8163-7b26c9aca8d8
07dd40536557a1d6440a923557c3129dc929|9|8,48,9,8.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168169146349568,1786168172629415424,1238.087517,10.297562334862384,3482.9561059999996,219.0,2,3,1,2,4,3,1a110dbc-e1f2-46b7-afe2-68b6e7eb5fa3
07dd40536557a1d6440a923557c3129dc929|10|5,107,10,5.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168169266350848,1786168173732194048,1179.590183,10.70405883061889,4465.736244,308.0,3,4,1,3,3,2,039c34e4-11fd-487d-80a8-7e9add07266e
07dd40536557a1d6440a923557c3129dc929|9|9,49,9,9.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168173819090176,1786168176993357568,812.083495,10.736642959090908,3174.144946,221.0,2,3,1,2,5,4,ff36e614-49b5-42f6-bbc8-b1a8a944ea58
07dd40536557a1d6440a923557c3129dc929|10|6,108,10,6.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168175059875840,1786168178282474240,855.0807189999999,10.293104369565217,3222.4947239999997,231.0,4,5,2,3,4,3,ab7fd6fd-b268-4623-a90c-75d412cc72a5
07dd40536557a1d6440a923557c3129dc929|9|10,50,9,10.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168178177189120,1786168181525247488,989.287619,10.970549897674418,3347.9558469999997,216.0,3,4,1,3,5,4,bf849f62-0810-40da-8b6a-3479f83345e0
07dd40536557a1d6440a923557c3129dc929|10|7,109,10,7.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168179646015488,1786168183257610496,1008.331741,10.891603744769874,3611.4250359999996,240.0,4,5,2,3,4,3,c293ee35-3653-442b-8c34-e8ec78ad2960
07dd40536557a1d6440a923557c3129dc929|9|11,51,9,11.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168182688887296,1786168185809069568,836.005496,10.429456360730594,3120.056439,220.0,3,4,1,3,5,4,58239010-2d2e-48d9-acaf-19d4a78f9e00
07dd40536557a1d6440a923557c3129dc929|10|8,110,10,8.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168184643607040,1786168186423430400,880.408519,10.835250867469878,1779.7343409999999,84.0,4,5,2,3,4,3,2bb2a93f-7b10-41f3-8860-dbe329ad72a5
07dd40536557a1d6440a923557c3129dc929|9|12,52,9,12.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168187229602560,1786168190196744704,748.547929,10.366620009345793,2967.004611,215.0,3,4,2,2,4,3,d0904326-d4f6-4002-bedf-a8f7cf23cd41
07dd40536557a1d6440a923557c3129dc929|10|9,111,10,9.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168191326805248,1786168193711356928,740.397705,14.73393745045045,2375.8647619999997,112.0,3,4,2,2,5,4,86d4a565-d2f9-4126-8fba-e94817da3e90
07dd40536557a1d6440a923557c3129dc929|9|13,53,9,13.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168191373880064,1786168213677355008,20104.736996,14.955389156462585,22303.179202,148.0,4,5,2,3,3,2,e31d550f-12ab-4dbf-89e6-2912fe6cdff1
07dd40536557a1d6440a923557c3129dc929|10|10,112,10,10.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168195066869248,1786168197204359936,920.888831,10.957673945945945,2137.190639,112.0,4,5,2,3,5,4,dde425a7-100a-4938-911b-78192dc42095
07dd40536557a1d6440a923557c3129dc929|10|11,113,10,11.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168198690960384,1786168202103184128,884.818326,10.754122161702128,3412.037034,236.0,4,5,2,3,4,3,799ba1ce-aff0-4bc0-a582-15bc2b20e8b6
07dd40536557a1d6440a923557c3129dc929|10|12,114,10,12.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168203489817088,1786168206685755904,1154.6766519999999,10.630920484375,3195.813385,193.0,4,5,2,3,4,3,b01795e4-b47e-4144-8ebf-22f3d1356b8c
07dd40536557a1d6440a923557c3129dc929|10|13,115,10,13.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168208171875840,1786168213218710784,3306.623982,15.818642509090909,5046.674658,111.0,3,4,2,2,5,4,0e0a4871-faeb-4ac8-bf42-09ca97768aeb
07dd40536557a1d6440a923557c3129dc929|8|9,17,8,9.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168208549552896,1786168213606301952,3404.198853,11.801809607142856,5056.452198,141.0,4,5,2,3,4,3,2afeb224-e4f1-4763-9933-cb6b71c0ed1f
07dd40536557a1d6440a923557c3129dc929|10|14,116,10,14.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168214789023744,1786168216969482752,807.007291,10.729254359375,2180.3518489999997,129.0,2,3,2,1,6,5,ad51546b-6b4e-4b11-8ade-521f8b898c05
07dd40536557a1d6440a923557c3129dc929|9|14,54,9,14.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168214910397440,1786168218370883072,1934.0503079999999,10.599239381944443,3460.3407789999997,145.0,3,4,2,2,4,3,d9b4bd39-d1b0-4960-a6c2-d4cf37b77285
07dd40536557a1d6440a923557c3129dc929|8|10,18,8,10.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168215231983360,1786168218369623552,1656.3692489999999,10.655752489208632,3137.518845,140.0,3,4,1,3,5,4,8cf16ddb-ab3e-4c5c-add4-05a7ae8ed90c
07dd40536557a1d6440a923557c3129dc929|10|15,117,10,15.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1786168218420628480,1786168246117298432,869.967641,11.057801765773196,27685.136923,2426.0,3,4,3,1,10,9,e1838662-6984-4d28-9f15-df2bc7d94bbc
07dd40536557a1d6440a923557c3129dc929|9|15,55,9,15.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168219663269632,1786168234243070976,12442.638097,15.049737176056338,14579.700776,143.0,3,4,2,2,8,7,6846c6fe-5972-4695-aeca-976f5996d131
07dd40536557a1d6440a923557c3129dc929|8|11,19,8,11.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168219907963648,1786168293398230528,70141.215556,11.468930585616437,73490.143287,293.0,4,5,2,3,8,7,8ceca485-1b46-46d1-ab3b-ef8dc223c78c
07dd40536557a1d6440a923557c3129dc929|9|16,56,9,16.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168235736753408,1786168238498853632,1144.0592649999999,11.556420607142856,2761.95815,141.0,7,8,3,5,9,8,a098384c-8439-4ef5-b74b-a0df0266dde3
