exact_source_key,left_concurrency,right_concurrency,left_record_count,right_record_count,left_source_trace_id,left_source_outer_idx,left_source_inner_idx,left_source_outer_idx_exact_key_normalized,left_source_inner_idx_exact_key_normalized,left_source_request_index,left_source_conversation_path,right_source_conversation_path,left_source_branch_type,right_source_branch_type,left_turn_index,right_turn_index,source_path_validation,turn_index_validation,match_validation_status,left_benchmark_phase,right_benchmark_phase,left_input_sequence_length,right_input_sequence_length,left_source_input_tokens,right_source_input_tokens,left_output_tokens,right_output_tokens,same_output_length,left_ttft_ms,right_ttft_ms,ttft_ratio_right_over_left,left_itl_ms,right_itl_ms,itl_ratio_right_over_left,left_decode_tps,right_decode_tps,decode_tps_ratio_right_over_left,left_e2e_ms,right_e2e_ms,e2e_ratio_right_over_left,strict_ttft_subset,strict_decode_subset,matching_method
07dd40536557a1d6440a923557c3129dc929|11|-1,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,11.0,,11.0,-1.0,118.0,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,root,root,8.0,8.0,match,match,high_confidence_exact,profiling,profiling,72715.0,72716.0,72704.0,72704.0,2.0,2.0,True,3587.0367739999997,41782.65692,11.648237682661685,35.915908,485.42276599999997,13.51553651379216,27.84281550114228,2.060059951947124,0.07398892370861733,3622.9526819999996,42268.079686,11.666749029321162,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|50,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,50.0,9.0,50.0,90.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,50.0,50.0,match,match,high_confidence_exact,profiling,profiling,106730.0,106731.0,106560.0,106560.0,245.0,245.0,True,26827.843273,5646.457138,0.2104700359451813,9.787228155737704,9.07107331557377,0.9268276136237722,102.17397449897558,110.24053771929493,1.0789492946699477,29215.926943,7859.799027,0.26902446197700297,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|51,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,51.0,9.0,51.0,91.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,51.0,51.0,match,match,high_confidence_exact,profiling,profiling,107118.0,107119.0,106944.0,106944.0,132.0,132.0,True,6335.93077,121981.14540499999,19.25228507586739,10.792811633587787,15.911832809160304,1.4742991306956437,92.6542622950954,62.84631142078798,0.6782884010303615,7749.789094,124065.59550299999,16.008899596900434,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|52,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,52.0,9.0,52.0,92.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,52.0,52.0,match,match,high_confidence_exact,profiling,profiling,107313.0,107314.0,107136.0,107136.0,582.0,582.0,True,3094.781146,1008.3730569999999,0.3258301667965506,10.689072881239243,13.36795613425129,1.2506188593506409,93.55348317955004,74.80575115277395,0.7996041260078472,9305.13249,8775.155571,0.9430446670620162,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|53,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,53.0,9.0,53.0,93.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,53.0,53.0,match,match,high_confidence_exact,profiling,profiling,108276.0,108277.0,108096.0,108096.0,111.0,111.0,True,7232.533393,1033.081954,0.14283818654745062,10.859726436363635,10.899657081818182,1.0036769476366219,92.08335088916371,91.74600563059082,0.996336522777294,8427.103301,2232.044233,0.2648649427063669,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|54,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,54.0,9.0,54.0,94.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,54.0,54.0,match,match,high_confidence_exact,profiling,profiling,108793.0,108794.0,108608.0,108608.0,197.0,197.0,True,1416.8750699999998,1530.734867,1.0803597998234242,10.739016780612245,10.957421801020407,1.0203375248283868,93.1183943957846,91.26234420462625,0.9800678458514918,3521.722359,3678.3895399999997,1.0444859546067355,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|55,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,55.0,9.0,55.0,95.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,55.0,55.0,match,match,high_confidence_exact,profiling,profiling,109053.0,109054.0,108864.0,108864.0,159.0,159.0,True,16123.621921,1262.0329239999999,0.07827229701760009,10.871928632911391,11.062415101265824,1.017520945435366,91.98000039963564,90.39617396797688,0.9827807520680872,17841.386645,3009.89451,0.16870294724785392,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|56,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,56.0,9.0,56.0,96.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,56.0,56.0,match,match,high_confidence_exact,profiling,profiling,109889.0,109890.0,109696.0,109696.0,395.0,395.0,True,1824.1611309999998,17405.054607,9.541401968947007,10.742952172588833,10.818818682741115,1.0070619796991984,93.08428297312436,92.43153336096344,0.9929875421358794,6056.884287,21667.669168,3.5773622445628868,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|57,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,57.0,9.0,57.0,97.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,57.0,57.0,match,match,high_confidence_exact,profiling,profiling,110596.0,110597.0,110400.0,110400.0,213.0,213.0,True,110234.664873,1246.915976,0.011311468832753803,11.086685155660378,10.544286084905659,0.9510765334146976,90.19828613870608,94.83809448526995,1.0514400943209588,112585.042126,3482.3046259999996,0.030930437651768734,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|58,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,58.0,9.0,58.0,98.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,58.0,58.0,match,match,high_confidence_exact,profiling,profiling,110920.0,110921.0,110720.0,110720.0,123.0,123.0,True,7240.295150999999,38157.328709,5.270134423142939,12.042204762295082,10.523311155737705,0.8738691430232833,83.0412719048811,95.02712456190773,1.1443360919466132,8709.444131999999,39441.17267,4.528552232752299,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|59,12,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,59.0,9.0,59.0,99.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,59.0,59.0,match,match,high_confidence_exact,profiling,profiling,111114.0,111115.0,110912.0,110912.0,130.0,130.0,True,7307.058577999999,2050.172389,0.28057423751502875,10.597254666666666,12.42225288372093,1.1722142455248092,94.36406234017088,80.50069575628078,0.85308637377316,8674.10443,3652.6430109999997,0.42109742169659353,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
