concurrency,root_trace_id,conversation_id,source_outer_idx,source_inner_idx,turn_index,worker_id,input_sequence_length,logical_prompt_tokens,cache_read_tokens,new_prompt_tokens,output_tokens,ttft_ms,itl_ms,e2e_ms,match_class
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,123,,117,worker_ffcd9e27,1.0,,,,1.0,182197.96318299999,,182197.96318299999,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,124,,118,worker_ffcd9e27,1.0,,71104.0,,1.0,30976.114663,,30976.114663,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,125,,119,worker_ffcd9e27,1.0,,,,1.0,43216.261825999994,,43216.261825999994,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,126,,120,worker_ffcd9e27,1.0,,360384.0,,1.0,14847.800346999999,,14847.800346999999,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,127,,121,worker_ffcd9e27,1.0,,262080.0,,1.0,17026.579377,,17026.579377,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,128,,122,worker_ffcd9e27,1.0,,530560.0,,1.0,2261.0500119999997,,2261.0500119999997,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,129,,123,worker_ffcd9e27,1.0,,533120.0,,1.0,2454.429201,,2454.429201,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,130,,124,worker_ffcd9e27,1.0,,535104.0,,1.0,3964.4732259999996,,3964.4732259999996,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,131,,125,worker_ffcd9e27,1.0,,163776.0,,1.0,39132.818768,,39132.818768,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,132,,126,worker_ffcd9e27,1.0,,,,1.0,51086.70948,,51086.70948,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,133,,127,worker_ffcd9e27,1.0,,,,1.0,31784.401418999998,,31784.401418999998,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,134,,128,worker_ffcd9e27,1.0,,,,1.0,46397.950162,,46397.950162,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,135,,129,worker_ffcd9e27,1.0,,,,1.0,30204.265186999997,,30204.265186999997,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,136,,130,worker_ffcd9e27,1.0,,,,1.0,91293.764187,,91293.764187,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,137,,131,worker_ffcd9e27,1.0,,393152.0,,1.0,13162.45863,,13162.45863,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,138,,132,worker_ffcd9e27,1.0,,131008.0,,1.0,29935.948583999998,,29935.948583999998,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,139,,133,worker_ffcd9e27,1.0,,,,1.0,31427.60905,,31427.60905,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,140,,134,worker_ffcd9e27,1.0,,,,1.0,31066.21517,,31066.21517,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,141,,135,worker_ffcd9e27,1.0,,229312.0,,1.0,23976.889088,,23976.889088,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,142,,136,worker_ffcd9e27,1.0,,558336.0,,1.0,2526.731667,,2526.731667,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,98,,92,worker_f3d5e267,1.0,,,,1.0,36116.790598,,36116.790598,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,99,,93,worker_f3d5e267,1.0,,358400.0,,1.0,8629.537202,,8629.537202,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,100,,94,worker_f3d5e267,1.0,,,,1.0,32751.461749,,32751.461749,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,101,,95,worker_f3d5e267,1.0,,,,1.0,141270.505454,,141270.505454,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,102,,96,worker_f3d5e267,1.0,,,,1.0,118231.70242399999,,118231.70242399999,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,103,,97,worker_f3d5e267,1.0,,,,1.0,26958.753865,,26958.753865,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,104,,98,worker_f3d5e267,1.0,,327616.0,,1.0,13334.011062,,13334.011062,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,105,,99,worker_f3d5e267,1.0,,163776.0,,1.0,26947.175655,,26947.175655,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,106,,100,worker_f3d5e267,1.0,,,,1.0,55609.034618,,55609.034618,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,107,,101,worker_f3d5e267,1.0,,,,1.0,28187.015213,,28187.015213,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,108,,102,worker_f3d5e267,1.0,,360384.0,,1.0,12833.765265999999,,12833.765265999999,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,109,,103,worker_f3d5e267,1.0,,131008.0,,1.0,25131.468541,,25131.468541,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,110,,104,worker_f3d5e267,1.0,,,,1.0,45196.271828,,45196.271828,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,111,,105,worker_f3d5e267,1.0,,,,1.0,32657.594008999997,,32657.594008999997,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,112,,106,worker_f3d5e267,1.0,,,,1.0,66132.32300199999,,66132.32300199999,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,113,,107,worker_f3d5e267,1.0,,,,1.0,29886.414075999997,,29886.414075999997,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,114,,108,worker_f3d5e267,1.0,,360384.0,,1.0,11713.291871,,11713.291871,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,115,,109,worker_f3d5e267,1.0,,131008.0,,1.0,47188.341279,,47188.341279,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,116,,110,worker_f3d5e267,1.0,,255424.0,,1.0,16780.229503,,16780.229503,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,117,,111,worker_f3d5e267,1.0,,507072.0,,1.0,2743.090741,,2743.090741,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,118,,112,worker_f3d5e267,1.0,,512960.0,,1.0,2329.907105,,2329.907105,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,119,,113,worker_f3d5e267,1.0,,,,1.0,29667.034359999998,,29667.034359999998,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,120,,114,worker_f3d5e267,1.0,,229312.0,,1.0,21311.511264,,21311.511264,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,121,,115,worker_f3d5e267,1.0,,,,1.0,50969.258791,,50969.258791,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,122,,116,worker_f3d5e267,1.0,,,,1.0,62017.733090999995,,62017.733090999995,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,123,,117,worker_f3d5e267,1.0,,,,1.0,29019.153528,,29019.153528,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,124,,118,worker_f3d5e267,1.0,,327616.0,,1.0,52157.347442,,52157.347442,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,125,,119,worker_f3d5e267,1.0,,,,1.0,39381.576572,,39381.576572,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,126,,120,worker_f3d5e267,1.0,,,,1.0,28873.709381999997,,28873.709381999997,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,127,,121,worker_f3d5e267,1.0,,262080.0,,1.0,20977.688544999997,,20977.688544999997,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,128,,122,worker_f3d5e267,1.0,,,,1.0,186686.90864399998,,186686.90864399998,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,129,,123,worker_f3d5e267,1.0,,,,1.0,95694.181573,,95694.181573,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,130,,124,worker_f3d5e267,1.0,,,,1.0,32145.626063,,32145.626063,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,131,,125,worker_f3d5e267,1.0,,,,1.0,32241.381942,,32241.381942,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,132,,126,worker_f3d5e267,1.0,,294848.0,,1.0,18612.125819999997,,18612.125819999997,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,133,,127,worker_f3d5e267,1.0,,,,1.0,83269.093488,,83269.093488,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,134,,128,worker_f3d5e267,1.0,,,,1.0,59487.726616,,59487.726616,loader_metadata_turn_match
16,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,135,,129,worker_f3d5e267,1.0,,,,1.0,62021.887984999994,,62021.887984999994,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,98,,92,worker_775bd273,1.0,,456896.0,,1.0,2257.191532,,2257.191532,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,99,,93,worker_775bd273,1.0,,370688.0,,1.0,7637.706601999999,,7637.706601999999,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,100,,94,worker_775bd273,1.0,,466496.0,,1.0,2139.80741,,2139.80741,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,101,,95,worker_775bd273,1.0,,,,1.0,25516.285334,,25516.285334,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,102,,96,worker_775bd273,1.0,,471296.0,,1.0,2308.227117,,2308.227117,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,103,,97,worker_775bd273,1.0,,473280.0,,1.0,2202.123244,,2202.123244,loader_metadata_turn_match
8,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,104,,98,worker_775bd273,1.0,,141312.0,,1.0,20078.930389999998,,20078.930389999998,loader_metadata_turn_match
