concurrency,profile_request_count,coverage_ratio,distinct_exact_source_key_count,ttft_mean_ms,ttft_median_ms,ttft_p90_ms,ttft_p95_ms,itl_sample_count,weighted_itl_ms,weighted_decode_tps,e2e_median_ms,e2e_p90_ms,wall_span_s,wall_output_tps,output_tokens_total,ttft_inflation_vs_c8,tps_retention_vs_c8,wall_throughput_ratio_vs_c8,weighting
8,119,1.0,119,2709.924047873949,1080.569611,3326.1389562000004,6497.038351999993,119,11.055295384182745,90.45438997774227,3604.6599459999998,8113.727795400004,482.6908288,77.96916318787949,37635.0,1.0,1.0,1.0,output-transition-token-weighted ITL; wall output TPS is parallel-system rate
12,112,0.9411764705882353,112,7037.980962714284,1729.7210515,17659.151181700006,27469.335389649983,112,11.3219090288071,88.32432741295061,4614.447884499999,22447.896527300007,836.78873344,38.092052063085674,31875.0,1.600749302860045,0.9764515291594383,0.48855278812338443,output-transition-token-weighted ITL; wall output TPS is parallel-system rate
16,13,0.1092436974789916,13,18173.710029846152,1647.9248659999998,41057.591277800006,73862.05231399988,13,11.411392889570552,87.63172118225378,7859.799027,41702.6982828,301.853785856,13.002984172848604,3925.0,1.5250520181434197,0.9687945626941595,0.1667708571081593,output-transition-token-weighted ITL; wall output TPS is parallel-system rate
