concurrency,usage_prompt_tokens_total,logical_prompt_tokens_total,cache_read_tokens_total,cache_read_ratio,profile_cache_read_to_usage_prompt_ratio_raw,new_prompt_tokens_total,kv_write_eligible_tokens_total,profile_cache_read_status,server_frontend_cached_tokens,server_frontend_input_tokens,server_frontend_cache_hit_rate,server_frontend_cached_to_input_ratio,server_cache_metric_scope,kv_write_scope,evidence_classification
8,79114864.0,,90329344.0,,1.1417493430817247,,,profile_counter_scope_unvalidated_ratio_gt_1,17074752.0,23632229.0,0.72252,0.7225197420014845,aggregate.server_metrics.cache frontend scope; not per-request physical KV allocation,physical store only if explicit cache_write_tokens exists; otherwise derived eligibility proxy,Evidence
12,93451005.0,,87474624.0,,0.9360479750859823,,,observed_profile_metric_scope_unvalidated,35687104.0,75102442.0,0.47518,0.4751790094921281,aggregate.server_metrics.cache frontend scope; not per-request physical KV allocation,physical store only if explicit cache_write_tokens exists; otherwise derived eligibility proxy,Evidence
16,87265916.0,,50961856.0,,0.5839835108130876,,,observed_profile_metric_scope_unvalidated,24952896.0,86756790.0,0.28762,0.2876189402581631,aggregate.server_metrics.cache frontend scope; not per-request physical KV allocation,physical store only if explicit cache_write_tokens exists; otherwise derived eligibility proxy,Evidence
