comparison_scope,metric,hisparse_c8_value,gpu_resident_mtp_c8_value,gpu_resident_over_hisparse_ratio,hisparse_request_count,gpu_resident_request_count,exact_matched_source_key_count,strict_ttft_count,strict_decode_count,caveat
run_level_unpaired_observed_system_difference,ttft_median_ms,228707.99470399998,1471.051316,0.006432006532626348,219,957,,,,"16→32 GPUs, 1P1D→2P2D, KV mode/dtype, MTP, and software may differ; not a causal HiSparse estimate."
run_level_unpaired_observed_system_difference,weighted_decode_tps,32.51611213872261,92.47707400140878,2.8440384756602,219,957,,,,"16→32 GPUs, 1P1D→2P2D, KV mode/dtype, MTP, and software may differ; not a causal HiSparse estimate."
run_level_unpaired_observed_system_difference,wall_output_tps,23.566579944851874,210.50477082010926,8.932342805477555,219,957,,,,"16→32 GPUs, 1P1D→2P2D, KV mode/dtype, MTP, and software may differ; not a causal HiSparse estimate."
run_level_unpaired_observed_system_difference,output_tokens_total,84618.0,760694.0,8.989742135243093,219,957,,,,"16→32 GPUs, 1P1D→2P2D, KV mode/dtype, MTP, and software may differ; not a causal HiSparse estimate."
source_key_matched_median_observed_system_ratio,ttft_ratio_gpu_resident_over_hisparse,,0.008807671780335244,0.008807671780335244,83,83,83.0,83.0,64.0,Source-key matching controls workload identity only; it does not isolate a single architecture change.
source_key_matched_median_observed_system_ratio,itl_ratio_gpu_resident_over_hisparse,,0.3533820086169055,0.3533820086169055,83,83,83.0,83.0,64.0,Source-key matching controls workload identity only; it does not isolate a single architecture change.
source_key_matched_median_observed_system_ratio,e2e_ratio_gpu_resident_over_hisparse,,0.04822927008064593,0.04822927008064593,83,83,83.0,83.0,64.0,Source-key matching controls workload identity only; it does not isolate a single architecture change.
