pair,left_concurrency,right_concurrency,matched_source_key_count,same_output_length_count,strict_ttft_count,strict_decode_count,median_ttft_ratio_right_over_left,p90_ttft_ratio_right_over_left,median_itl_ratio_right_over_left,weighted_itl_left_ms,weighted_itl_right_ms,weighted_itl_ratio_right_over_left,median_e2e_ratio_right_over_left,coverage_overlap_ratio_jaccard,matching_method
c8_c12,8,12,112,112,112,112,1.4511684225465467,14.06404034672065,0.9922658342897505,11.157385012782168,11.3219090288071,1.0147457505353137,1.1490078167652846,0.9411764705882353,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
c8_c16,8,16,13,13,13,13,1.28084274525887,17.226602451406816,1.0083401316066565,10.96197253220859,11.411392889570552,1.0409981283971903,1.1455406139786757,0.1092436974789916,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
c12_c16,12,16,13,13,13,13,0.3258301667965506,11.226870539918751,1.0070619796991984,11.345594730061348,11.411392889570552,1.005799445606396,0.8945756145035162,0.11607142857142858,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
