request_identity_key,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,exact_source_key,session_num,turn_index,request_start_ns,request_ack_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,worker_id,x_request_id,interval_valid,branch_concurrency_group,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end
31235207041|8|9017979109|10|05c249572509162371b7b82339674db64b5d|11|1786166759036430592|98,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,11,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|11|-1,10,11,1786166759036430592,1786166759244868096,1786166768251180032,811.5040319999999,11.606513602209944,9214.61988,725.0,worker_29a49ec4,baf26a74-d1b6-4c12-b6e7-359218af8989,True,root,0,1,1,0,1,0
31235207041|8|9017979109|11|05c249572509162371b7b82339674db64b5d|12|1786166769417100544|99,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,12,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|12|-1,11,12,1786166769417100544,1786166769650976768,1786166772944484864,836.8609329999999,10.001449717472118,3527.2509069999996,270.0,worker_29a49ec4,dac0dbdd-68d8-489b-830c-2874be9d3369,True,root,0,1,1,0,1,0
31235207041|8|9017979109|12|05f72f78a037cfa5cd4e4541960a574701d9|7|1786166774178035968|100,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,7,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|7|-1,12,7,1786166774178035968,1786166774352169216,1786166782547983616,732.1942819999999,11.971191081504703,8369.814192,639.0,worker_6e24a6ae,ad99c69d-ffa3-4af9-ab27-2653bba1316c,True,root,0,1,1,0,1,0
31235207041|8|9017979109|13|05f72f78a037cfa5cd4e4541960a574701d9|8|1786166783362751232|101,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,8,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|8|-1,13,8,1786166783362751232,1786166783551312384,1786166787284549888,754.637844,16.31673404639175,3920.084249,195.0,worker_6e24a6ae,8afa5772-3183-40fa-bd98-1df016522fb0,True,root,0,1,1,0,1,0
31235207041|8|9017979109|14|05c249572509162371b7b82339674db64b5d|13|1786166792453508352|102,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,13,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|13|-1,14,13,1786166792453508352,1786166792964546304,1786166801412711936,1124.460008,10.148415113989637,8959.036476,773.0,worker_29a49ec4,add7f65f-548c-4d15-9243-560c09fcd2a3,True,root,0,1,1,0,1,0
31235207041|8|9017979109|15|05c249572509162371b7b82339674db64b5d|14|1786166809780338432|103,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,14,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|14|-1,15,14,1786166809780338432,1786166810024590336,1786166819199083776,1236.648444,11.9440504,9418.322968,686.0,worker_29a49ec4,32ff703f-5537-44e0-9c42-39db1520832e,True,root,0,1,1,0,2,1
31235207041|8|9017979109|16|063179eb93f4337a662e859c5a2c5638e03f::fa:000|3|1786166810532049920|104,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,5,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|5|-1,16,3,1786166810532049920,1786166810681072896,1786166830694095104,1013.861101,11.790664016625614,20161.899464,1625.0,worker_52cdd4a9,01d3b68e-199a-476e-826a-3fa8c6ae65df,True,root,1,2,2,0,2,1
31235207041|8|9017979109|17|05c249572509162371b7b82339674db64b5d|15|1786166820662189568|105,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,15,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|15|-1,17,15,1786166820662189568,1786166820889139200,1786166835701579264,1205.6731049999999,11.45152698013245,15039.117697,1209.0,worker_29a49ec4,7aff2ab6-dd15-46bb-b6fb-07ff6f2eebe0,True,root,1,2,2,0,1,0
31235207041|8|9017979109|18|05c249572509162371b7b82339674db64b5d|16|1786166837149256192|106,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,16,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|16|-1,18,16,1786166837149256192,1786166837775530240,1786166841130539008,1154.037546,10.431683501845018,3981.0237749999997,272.0,worker_29a49ec4,c5efcff2-1f51-4185-8570-80130a6aadfa,True,root,0,1,1,0,1,0
31235207041|8|9017979109|19|05c249572509162371b7b82339674db64b5d|17|1786166842236750336|107,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,17,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|17|-1,19,17,1786166842236750336,1786166842956184320,1786166852676777984,1987.370117,10.435180891358025,10439.866639,811.0,worker_29a49ec4,37ba256a-bca6-4967-968a-416ea36d9dfd,True,root,0,1,1,0,1,0
