component,worker_id,phase_second_bin,timeslice_start_ns,timeslice_end_ns,running_requests,waiting_requests,decode_prealloc_queue_requests,decode_transfer_queue_requests,reconstruction_method,validation_status
decode,694d9fdfb4d8ee18,41,1786166634657379419,1786166635657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,42,1786166635657379419,1786166636657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,43,1786166636657379419,1786166637657379419,0.5,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,44,1786166637657379419,1786166638657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,45,1786166638657379419,1786166639657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,46,1786166639657379419,1786166640657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,47,1786166640657379419,1786166641657379419,1.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,48,1786166641657379419,1786166642657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,49,1786166642657379419,1786166643657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,50,1786166643657379419,1786166644657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,51,1786166644657379419,1786166645657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,52,1786166645657379419,1786166646657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,53,1786166646657379419,1786166647657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,54,1786166647657379419,1786166648657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,55,1786166648657379419,1786166649657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,56,1786166649657379419,1786166650657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,57,1786166650657379419,1786166651657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,58,1786166651657379419,1786166652657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,59,1786166652657379419,1786166653657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,60,1786166653657379419,1786166654657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,61,1786166654657379419,1786166655657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,62,1786166655657379419,1786166656657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
decode,694d9fdfb4d8ee18,63,1786166656657379419,1786166657657379419,0.0,0.0,0.0,0.0,sum of validated independent rank-local scheduler shards,Validated reconstruction
