root_id,lane_id,session_id,source_total_requests,observed_requests,warmup_requests,profile_requests,first_warmup_source_idx,last_warmup_source_idx,first_profile_source_idx,first_warmup_outer_idx,first_warmup_inner_idx,last_warmup_outer_idx,last_warmup_inner_idx,first_profile_outer_idx,first_profile_inner_idx,first_profile_turn_index,first_warmup_timestamp,last_warmup_timestamp,first_profile_timestamp,warmup_count_eq_10,observed_distinct_source_requests,warmup_are_contiguous,warmup_immediately_precede_first_profile,num_source_requests_between_last_warmup_and_first_profile,source_order_relation,warmup_distinct_turn_index,warmup_distinct_conversation_id,warmup_distinct_subagent_conversation_id,warmup_distinct_source_outer_idx,warmup_distinct_source_outer_inner_idx,warmup_root_conversation_requests,warmup_subagent_requests,first_profile_is_first_source_request,full_source_coverage,dataset_row_idx,root_next_at_t_star,root_turns,live_at_t_star,ready_at_t_star
0db32e2f852a2ea24ed616b31975a84da5e4,24,cae80809-bf64-495c-b5a5-3b80b45d1fbd,60,50,11,39,3,20,21,3,,20,,21,,14,2026-08-04T01:16:17.649030Z,2026-08-04T01:26:56.853125Z,2026-08-04T01:32:03.057372Z,false,50,false,false,0,adjacent,11,1,0,11,11,11,0,false,false,24,4,53,1,1
0dedb07b5e4362b028db9d8ab90fff7fd4ad,25,2a898ead-d919-44e1-a820-a48687230fb4,44,2,2,0,42,43,,42,,43,,,,,2026-08-04T01:16:17.650775Z,2026-08-04T01:20:00.468733Z,,false,2,true,false,,,2,1,0,2,2,2,0,false,false,25,42,43,1,1
0e4206535a79f980e2b1091181202ea987fe,26,868d7ba9-4bc8-4721-8c47-8b0e5957ae17,27,19,11,8,8,18,19,8,,18,,19,,18,2026-08-04T01:16:17.650136Z,2026-08-04T01:26:49.129611Z,2026-08-04T01:29:34.760344Z,false,19,true,true,0,adjacent,11,2,1,11,11,10,1,false,false,26,9,26,1,1
0ede42538334da8586bc60008762abfc0ab7,27,b1394c3d-0119-4e64-b6e7-ecf0f4f983ec,163,103,11,92,6,16,17,6,,16,,17,,14,2026-08-04T01:16:17.647667Z,2026-08-04T01:26:45.559631Z,2026-08-04T01:32:03.057871Z,false,103,true,true,0,adjacent,11,1,0,11,11,11,0,false,false,27,4,19,1,1
0f909e7d63c0d5e1f060d727ada25d910d89,28,63f5cc97-5018-4edc-929b-9d6c174d488a,49,18,11,7,31,41,42,31,,41,,42,,40,2026-08-04T01:16:17.648643Z,2026-08-04T01:26:59.642967Z,2026-08-04T01:32:03.059675Z,false,18,true,true,0,adjacent,11,1,1,11,11,0,11,false,false,28,0,2,1,1
1007f04d2c64580308858bb42f292992929d,29,fc6708aa-3ec7-497d-a4f2-9bd9d14de193,133,19,11,8,67,77,78,67,,77,,78,,76,2026-08-04T01:16:25.728040Z,2026-08-04T01:26:51.075873Z,2026-08-04T01:32:03.057159Z,false,19,true,true,0,adjacent,11,1,0,11,11,11,0,false,false,29,66,84,1,1
11310dce936f02050cadaeae295bcdd1ce7f,30,aa90120e-b299-4c94-9d28-77867237b6ae,1098,68,11,57,264,274,275,264,,274,,275,,271,2026-08-04T01:16:17.802705Z,2026-08-04T01:26:59.644365Z,2026-08-04T01:32:03.061334Z,false,68,true,true,0,adjacent,11,1,0,11,11,11,0,false,false,30,261,765,1,1
117ebe75819d050f308a0a81647893abd02d,31,73799443-e2fe-409c-84d9-b5d5a7cdc54d,282,236,12,224,30,36.1,31.5,30,,36,1,31,5,5,2026-08-04T01:16:17.651779Z,2026-08-04T01:20:11.083857Z,2026-08-04T01:27:20.097948Z,false,236,false,false,-32,source_order_overlap,6,7,6,7,12,1,11,false,false,31,23,51,7,6
12bd4c7c82ae413b035253cb800fc5312111,32,01e05c9a-ce78-4f2c-85c1-a544ecafcf4f,40,30,14,16,2,8,6.12,2,,8,,6,12,12,2026-08-04T01:16:17.649339Z,2026-08-04T01:24:01.253891Z,2026-08-04T01:27:24.600724Z,false,30,false,false,-15,source_order_overlap,11,4,3,5,14,1,13,false,false,32,3,5,4,3
12cfecf98c158ab54fb65980602421f00d69,33,c8d68b51-d732-460e-a260-2dbcb2a0ebe8,20,2,2,0,18,19,,18,,19,,,,,2026-08-04T01:16:17.649992Z,2026-08-04T01:20:00.470198Z,,false,2,true,false,,,2,1,0,2,2,2,0,false,false,33,19,20,1,1
12e6fd87f4d3d1f93f96bd7bb6a520043805,34,8da0b420-7815-4485-a456-a374de71596a,94,40,11,29,54,64,65,54,,64,,65,,64,2026-08-04T01:16:17.689904Z,2026-08-04T01:26:59.642448Z,2026-08-04T01:32:03.061344Z,false,40,true,true,0,adjacent,11,1,0,11,11,11,0,false,false,34,54,93,1,1
13b532ee3aaa0a52b05c3bcc472355ab62b4,35,1295e9a7-3a2a-4d6d-be67-f922761e6f38,167,40,11,29,97,107,108,97,,107,,108,,27,2026-08-04T01:16:17.665413Z,2026-08-04T01:26:59.653554Z,2026-08-04T01:32:03.058273Z,false,40,true,true,0,adjacent,11,1,1,11,11,0,11,false,false,35,0,80,2,2
13e0b7038bafff59abfdc31aad12dbcd4a2f,36,42642091-0d51-4282-9ba6-f4f3b6d5b0a9,241,84,11,73,35,41.2,40.3,35,,41,2,40,3,3,2026-08-04T01:16:17.731200Z,2026-08-04T01:24:32.547850Z,2026-08-04T01:32:03.058708Z,false,84,false,false,-2,source_order_overlap,8,3,2,7,11,5,6,false,false,36,36,172,1,1
14129d470e508b236be22188aa78548ef805,37,ee9bb5df-1a33-4606-b820-850521f136b9,27,14,11,3,13,23,24,13,,23,,24,,24,2026-08-04T01:16:17.649385Z,2026-08-04T01:26:53.365964Z,2026-08-04T01:29:56.383159Z,false,14,true,true,0,adjacent,11,1,0,11,11,11,0,false,false,37,14,27,1,1
1493faffdc8942e99daa22277f44871a40b8,38,c1e0069f-a466-48bc-a2f6-3b300fda6e78,78,8,8,0,70,77,,70,,77,,,,,2026-08-04T01:16:17.721884Z,2026-08-04T01:25:22.401111Z,,false,8,true,false,,,8,1,0,8,8,8,0,false,false,38,69,76,1,1
1499c406c828e8fe6b6af697e7799c6a715b,39,fa1215bd-500e-44e8-9db3-cb809a797610,140,48,10,38,17,26,27,17,,26,,27,,10,2026-08-04T01:20:00.471591Z,2026-08-04T01:26:57.662569Z,2026-08-04T01:32:03.059595Z,true,48,true,true,0,adjacent,10,1,1,10,10,0,10,false,false,39,0,11,1,1
