source_branch_type,source_request_count,hash_ids_present_rate,lcp_available_rate,median_hash_block_count,median_lcp_block_count,median_theoretical_cached_tokens,median_theoretical_new_tokens,median_theoretical_cache_ratio,p90_theoretical_cache_ratio
root,56798,1.0,0.9930807422796577,3970.0,3902.0,249728.0,1728.0,0.9944303797468355,0.9990986931050022
subagent,42029,1.0,0.9596231173713389,1000.0,921.0,58944.0,1664.0,0.9765651921088905,0.9978308026030369
