root_trace_id,concurrency,source_models,distinct_replay_instances,session_num_group_count,session_num_unique_row_rate,replay_instance_identity_status,profiled_request_count,root_request_count,subagent_request_count,unknown_branch_request_count,replay_root_request_count,replay_nonroot_branch_request_count,replay_unknown_branch_request_count,source_origin_root_request_count,source_origin_subagent_request_count,source_origin_unknown_branch_request_count,distinct_branch_count,total_input_tokens,total_output_tokens,median_input_tokens,p90_input_tokens,median_output_tokens,median_ttft_ms,p75_ttft_ms,p90_ttft_ms,p95_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,median_observed_itl_implied_tps,token_weighted_itl_ms,median_post_ttft_tps,wall_span_s,wall_clock_output_rate,total_h200_wall_time_s,error_count,cancellation_count,sample_quality_flag,source_request_count_total,source_subagent_count,source_total_input_tokens,source_total_output_tokens,source_recorded_span_s,source_max_input_tokens,source_max_output_tokens,rank_metric,rank
0470d446a4514dfe0c6ad0be92853bd13287,8,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",84,84,1.0,unvalidated_session_num_group,84,0,84,0,0,84,0,17,67,0,7,5178223.0,35880.0,57681.0,100008.8,226.0,211108.90094649998,257619.59723525,284506.2559031,296247.0897792,30.49574209738114,33.21234334778529,221964.953937,300428.7555522,32.791469479440195,30.40965168862442,32.79146947944017,3556.9156031,10.08739143788767,17665.773254997,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,median_ttft_ms,11
05f72f78a037cfa5cd4e4541960a574701d9,8,"[""claude-opus-4-8""]",10,10,1.0,unvalidated_session_num_group,10,10,0,0,10,0,0,10,0,0,1,468815.0,3211.0,50585.5,57937.0,275.0,210185.4969945,231351.82879399997,276472.5448321,279707.57923554996,30.765823891494126,36.92916203421052,215927.991889,297350.0834113,32.536432205362885,30.606805393939393,32.53643220536292,2079.670576139,1.5439945330002038,2058.596929552,0,0,session_num_unique_per_profiled_row,52,0,4439232,43705,101467.569,122304,5550,median_ttft_ms,12
002001296e8a8c38ad9d7cc436d691afc602,7,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",17,17,1.0,unvalidated_session_num_group,17,11,6,0,11,6,0,11,6,0,2,544205.0,8507.0,1.0,127143.0,1.0,209387.76997599998,279228.166783,285654.21193499997,306246.46570019994,32.37955409212132,34.541720924863014,209387.76997599998,318937.1270844,30.883686919701244,33.254610989752656,30.883686919701248,3391.52902777,2.5083081790968857,3582.0263704869994,0,0,session_num_unique_per_profiled_row,198,4,36279360,185265,201709.09,396224,8261,median_ttft_ms,13
02bc0afb13f7a2d9efa86c28511261d85c0e,7,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",46,46,1.0,unvalidated_session_num_group,46,0,46,0,0,46,0,13,33,0,3,1743306.0,12605.0,40574.5,77195.0,99.0,206869.5531265,249132.46531675,308725.11498199997,325640.4271635,31.338926857142855,35.34565812649908,210586.79929199998,321534.6638475,31.909197291868253,33.22222067043554,31.909197291868274,3602.972726965,3.4984999763286986,10156.012198798002,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,median_ttft_ms,14
0196085d85d2075a50b74cd8795ffbdcea9a,6,"[""claude-opus-4-7"",""claude-opus-4-8""]",17,17,1.0,unvalidated_session_num_group,17,17,0,0,17,0,0,17,0,0,1,17.0,17.0,1.0,1.0,1.0,206488.526954,242242.166352,276934.0865038,290425.0890228,,,206488.526954,276934.0865038,,,,3512.55312625,0.004839784449936332,3475.50351252,0,0,session_num_unique_per_profiled_row,233,3,92015424,585641,17764.261,682304,17710,median_ttft_ms,15
00ca01c4aaeccee751ae6285beb54dea262f,8,"[""claude-fable-5"",""claude-haiku-4-5-20251001""]",7,7,1.0,unvalidated_session_num_group,7,7,0,0,7,0,0,7,0,0,1,7.0,7.0,1.0,1.0,1.0,195743.047631,271962.650156,293834.158475,303016.227446,,,195743.047631,293834.158475,,,,1460.906848462,0.004791544380375378,1451.1006410589998,0,0,session_num_unique_per_profiled_row,35,3,3971584,35287,2519.939,169024,3473,median_ttft_ms,16
006c98de37d819e95b0840e25426bb7ca99d,7,"[""claude-opus-4-8""]",13,13,1.0,unvalidated_session_num_group,13,13,0,0,13,0,0,13,0,0,1,1467610.0,10462.0,112056.0,120048.0,774.0,189982.596053,248383.802933,278793.2584778,290251.27375819994,30.77239883394834,37.08712689020052,211528.597695,300816.622426,32.496654076145425,31.04193825734519,32.496654076145404,2882.164137703,3.62991124035632,2864.238663474,0,0,session_num_unique_per_profiled_row,33,0,2908416,21607,5340.127,120320,4045,median_ttft_ms,17
04dba6fe621301a1d01fd63b8d02c9645c48,8,"[""claude-opus-4-8""]",3,3,1.0,unvalidated_session_num_group,3,3,0,0,3,0,0,3,0,0,1,228177.0,724.0,75332.0,77128.0,86.0,188649.396659,238263.544995,268032.0339966,277954.8636638,31.471704529411763,32.37341602117647,189184.415636,282844.1939064,31.774573857779256,30.079564287101245,31.774573857779274,540.983001907,1.3383045261086823,534.247061157,0,0,session_num_unique_per_profiled_row,25,1,688256,41795,4925.563,77568,5814,median_ttft_ms,18
0470d446a4514dfe0c6ad0be92853bd13287,7,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",88,88,1.0,unvalidated_session_num_group,88,0,88,0,0,88,0,16,72,0,7,5388444.0,37554.0,58704.0,99286.8,224.5,185939.511121,240451.46472524997,280403.1641752,291109.0307229,30.831595600294147,33.84049057152777,194710.897363,294003.9322334,32.43426790731368,31.01886457345326,32.434267907313746,3607.299152536,10.410558817557126,17481.184622713998,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,median_ttft_ms,19
03e110ac6921c2fe9ac7772a9654314a2beb,7,"[""claude-fable-5"",""claude-opus-4-6""]",30,30,1.0,unvalidated_session_num_group,30,12,18,0,12,18,0,12,18,0,4,673339.0,12582.0,30669.0,46009.6,171.0,179185.71914099998,229730.633639,286727.1190248,331826.44971439993,31.571972210724198,38.34274198473818,195372.6353655,286727.1190248,31.67657145985349,32.50392248741236,31.67657145985349,3610.546238986,3.4847912662471754,6027.463761371001,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,median_ttft_ms,20
