concurrency,successful_profiled_request_count,total_input_tokens,total_output_tokens,mean_ttft_ms,p50_ttft_ms,p75_ttft_ms,p90_ttft_ms,p95_ttft_ms,mean_itl_ms,p50_itl_ms,p75_itl_ms,p90_itl_ms,p95_itl_ms,mean_e2e_ms,p50_e2e_ms,p75_e2e_ms,p90_e2e_ms,p95_e2e_ms,input_throughput_tps,output_throughput_tps,total_throughput_tps,duration_s,gpu_count,per_gpu_input_throughput_tps,per_gpu_output_throughput_tps,per_gpu_total_throughput_tps,target_model,precision,framework,metadata_concurrency
1,355,11688050.0,127262.0,1871.0965438253522,1300.499699,2705.9893604999997,3334.0481866,3673.9526914000007,30.515512542136182,30.20029034730539,31.25526011016949,32.02321716652892,32.514729774101006,12690.698255340843,3636.640535,4969.5579585,11379.8456304,80424.0230741,3254.138321767971,35.43175731664696,3289.5700790846176,3591.74959522,16.0,203.38364511049818,2.214484832290435,205.5981299427886,GLM-5.2 FP8,FP8,Dynamo + SGLang,1
2,395,9403092.0,125538.0,9306.599976035443,2234.244938,3289.9851595,13053.256985200002,64202.70840489966,32.76731079429029,32.019915132743364,32.432729349888014,33.38514424343356,34.73144009884057,19353.209090103795,3112.3802849999997,13825.136777,60656.63079960005,88726.18342479988,2612.470658663653,34.878350817722264,2647.3490094813756,3599.310089404,16.0,163.2794161664783,2.1798969261076415,165.45931309258597,GLM-5.2 FP8,FP8,Dynamo + SGLang,2
3,455,11798806.0,159005.0,15013.366841962636,2611.7033619999997,6524.1801465,63316.084472999995,74066.08317049993,32.12093842583107,31.14257484397163,32.03462775409836,33.645481050250034,34.81083846169279,25685.89875029451,4024.611034,32192.851104499998,81961.16284500001,118412.65714659994,3257.717957536832,43.902191784333425,3301.620149321165,3621.800952014,16.0,203.607372346052,2.743886986520839,206.35125933257282,GLM-5.2 FP8,FP8,Dynamo + SGLang,3
4,379,17903749.0,243209.0,25426.124627957783,3319.2344209999997,46209.772761500004,77804.4357638,104221.67895269985,34.51187854775149,33.94876396428572,35.8592584416966,38.84251476258431,39.52060541844797,47710.41019727441,30971.818001,70965.4603695,112990.99758259999,144193.99355569997,4934.979325523632,67.03799225409588,5002.017317777728,3627.927863325,16.0,308.436207845227,4.189874515880993,312.626082361108,GLM-5.2 FP8,FP8,Dynamo + SGLang,4
5,250,9610851.0,108877.0,79181.15542723199,63456.439988,136548.8960795,206825.8475183,220499.14324309997,32.64218552663183,31.717393470588235,34.259342044549484,35.26655085393258,35.58474014495021,92872.84720399199,78554.751121,173054.82349375,217983.39305129997,232346.91797814996,2667.3247963449185,30.21692062978041,2697.541716974699,3603.179865148,16.0,166.7077997715574,1.8885575393612757,168.59635731091868,GLM-5.2 FP8,FP8,Dynamo + SGLang,5
6,197,7222734.0,112007.0,139043.38001468527,126926.39610299999,192270.571343,230760.76694100004,267358.75454259996,33.58313133814626,31.79446933775983,33.61474781822954,36.294061421608895,39.03810380951434,157046.0497057665,155293.24341599998,202326.681521,243387.01758560003,284982.26924199995,1992.3805078873495,30.89696554614061,2023.27747343349,3625.178007618,16.0,124.52378174295934,1.9310603466337881,126.45484208959313,GLM-5.2 FP8,FP8,Dynamo + SGLang,6
7,241,10704094.0,124318.0,194641.80878009959,189638.598726,247749.717852,292912.617219,320548.714911,32.347234578857915,31.170326733009706,33.10316047416313,35.53722034319442,37.78097438813275,210963.5071321784,207050.676514,265364.011122,304635.564562,342023.792924,2964.673582996202,34.431899653620555,2999.1054826498225,3610.547232381,16.0,185.29209893726264,2.1519937283512847,187.4440926656139,GLM-5.2 FP8,FP8,Dynamo + SGLang,7
8,219,10494324.0,84618.0,219237.07629526936,228707.99470399998,275992.770609,310996.7136674,331975.6736557,31.384395453899234,30.7186287852349,31.61917406742424,33.59686595461988,34.52031415551724,231089.15627333333,239141.617673,290108.19741499994,328451.0753148,343450.93445589993,2922.727144498543,23.566579944851874,2946.2937244433947,3590.593127981,16.0,182.67044653115894,1.4729112465532421,184.14335777771217,GLM-5.2 FP8,FP8,Dynamo + SGLang,8
