root_trace_id,concurrency,source_models,distinct_replay_instances,session_num_group_count,session_num_unique_row_rate,replay_instance_identity_status,profiled_request_count,root_request_count,subagent_request_count,unknown_branch_request_count,replay_root_request_count,replay_nonroot_branch_request_count,replay_unknown_branch_request_count,source_origin_root_request_count,source_origin_subagent_request_count,source_origin_unknown_branch_request_count,distinct_branch_count,total_input_tokens,total_output_tokens,median_input_tokens,p90_input_tokens,median_output_tokens,median_ttft_ms,p75_ttft_ms,p90_ttft_ms,p95_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,median_observed_itl_implied_tps,token_weighted_itl_ms,median_post_ttft_tps,wall_span_s,wall_clock_output_rate,total_h200_wall_time_s,error_count,cancellation_count,sample_quality_flag,source_request_count_total,source_subagent_count,source_total_input_tokens,source_total_output_tokens,source_recorded_span_s,source_max_input_tokens,source_max_output_tokens,rank_metric,rank
02bc0afb13f7a2d9efa86c28511261d85c0e,1,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",265,265,1.0,unvalidated_session_num_group,265,13,252,0,13,252,0,110,155,0,15,11048194.0,123157.0,31844.0,81131.79999999999,106.0,1045.5975839999999,1438.253463,2052.6315664,2820.4888034,30.23848863861386,32.011520870197984,4091.285528,19216.601277599995,33.0704493131655,30.260374726890277,33.0704493131655,2797.741852782,44.02014427368842,4095.4245072739996,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_input_tokens,1
02bc0afb13f7a2d9efa86c28511261d85c0e,4,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",108,108,1.0,unvalidated_session_num_group,108,5,103,0,5,103,0,27,81,0,10,6495871.0,91153.0,59811.0,137454.5,118.0,3806.7476975,34158.118497749994,61829.86982439999,68768.81644909999,33.67364311965812,37.982778287699816,18427.41323,131231.12108299998,29.696816481855997,33.8378116676918,29.696816481855997,3570.57449121,25.528945054752235,5211.856701730999,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_input_tokens,2
0470d446a4514dfe0c6ad0be92853bd13287,3,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",50,50,1.0,unvalidated_session_num_group,50,50,0,0,50,0,0,50,0,0,1,5395187.0,40009.0,117776.5,134026.1,476.5,1117.1301265,3412.7620169999996,69161.3946362,75683.95817509998,31.389678528744724,32.33481768201335,27745.196907999998,84675.8750447,31.85760620039467,31.328244203733824,31.85760620039467,1985.567330363,20.14990848619854,1940.531787322,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,total_input_tokens,3
0470d446a4514dfe0c6ad0be92853bd13287,7,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",88,88,1.0,unvalidated_session_num_group,88,0,88,0,0,88,0,16,72,0,7,5388444.0,37554.0,58704.0,99286.8,224.5,185939.511121,240451.46472524997,280403.1641752,291109.0307229,30.831595600294147,33.84049057152777,194710.897363,294003.9322334,32.43426790731368,31.01886457345326,32.434267907313746,3607.299152536,10.410558817557126,17481.184622713998,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,total_input_tokens,4
0470d446a4514dfe0c6ad0be92853bd13287,8,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",84,84,1.0,unvalidated_session_num_group,84,0,84,0,0,84,0,17,67,0,7,5178223.0,35880.0,57681.0,100008.8,226.0,211108.90094649998,257619.59723525,284506.2559031,296247.0897792,30.49574209738114,33.21234334778529,221964.953937,300428.7555522,32.791469479440195,30.40965168862442,32.79146947944017,3556.9156031,10.08739143788767,17665.773254997,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,total_input_tokens,5
0470d446a4514dfe0c6ad0be92853bd13287,4,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",46,46,1.0,unvalidated_session_num_group,46,46,0,0,46,0,0,46,0,0,1,4831144.0,36162.0,116520.5,131554.5,497.0,1125.8721845,1540.3379129999998,3783.0084795,15934.5371095,34.548414688336834,38.55061286418548,25321.45723,64408.48901,28.945001629324608,35.109222082650355,28.945001629324608,1451.82710486,24.907924558611345,1416.6086433570001,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,total_input_tokens,6
0470d446a4514dfe0c6ad0be92853bd13287,2,"[""claude-fable-5"",""claude-haiku-4-5-20251001"",""claude-opus-4-6"",""claude-opus-4-8""]",44,44,1.0,unvalidated_session_num_group,44,44,0,0,44,0,0,44,0,0,1,4562441.0,35107.0,115943.5,130212.8,497.0,1032.3949049999999,1097.62771075,1836.3177028,3354.7056884000012,31.86504210567822,32.55212166023316,19310.584450000002,55508.52032970001,31.38235300887454,31.67849614699256,31.382353008874546,1205.26056904,29.128141168646223,1170.0394268080004,0,0,session_num_unique_per_profiled_row,795,7,185660800,813395,145463.832,769344,10438,total_input_tokens,7
03e110ac6921c2fe9ac7772a9654314a2beb,2,"[""claude-fable-5"",""claude-opus-4-6""]",86,86,1.0,unvalidated_session_num_group,86,37,49,0,37,49,0,38,48,0,9,4049984.0,83665.0,40341.0,97476.0,248.0,1256.140018,2861.9138165,4504.0148255,5994.318721999999,32.20961096704871,34.582352060053665,10327.094021500001,108288.07132999999,31.046633907594433,31.831758346486563,31.046633907594433,1986.312198825,42.1207703650473,2992.069693392,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_input_tokens,8
02bc0afb13f7a2d9efa86c28511261d85c0e,5,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",110,110,1.0,unvalidated_session_num_group,110,0,110,0,0,110,0,52,58,0,4,3740784.0,24440.0,34646.5,77812.5,73.5,30759.921371999997,113152.69316324999,178437.27366960002,214503.71046399997,33.210020332289716,35.54822092995496,35297.433625,191125.92973880013,30.111396992579742,32.35824475967941,30.111396992579756,3603.178610051,6.782899946126754,7918.674214494,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,total_input_tokens,9
03e110ac6921c2fe9ac7772a9654314a2beb,4,"[""claude-fable-5"",""claude-opus-4-6""]",73,73,1.0,unvalidated_session_num_group,73,31,42,0,31,42,0,32,41,0,5,2985634.0,42949.0,33241.0,83778.0,157.0,36498.341760999996,67148.146223,85205.5010852,88524.21308219999,32.063225223252935,38.752160541561494,52322.703198999996,110514.17148059998,31.188378369209676,32.972537020267744,31.188378369209676,3251.1987267,13.210204484668237,4305.190092264001,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,total_input_tokens,10
