root_trace_id,concurrency,baseline_concurrency,baseline_available_at_conc1,profiled_request_count,baseline_profiled_request_count,total_input_tokens,baseline_total_input_tokens,total_output_tokens,baseline_total_output_tokens,median_ttft_ms,baseline_median_ttft_ms,median_itl_ms,baseline_median_itl_ms,median_e2e_ms,baseline_median_e2e_ms,wall_clock_output_rate,baseline_wall_clock_output_rate,ttft_ratio,itl_ratio,e2e_ratio,wall_clock_output_rate_ratio,request_coverage_ratio,input_token_coverage_ratio,output_token_coverage_ratio,coverage_comparable
002001296e8a8c38ad9d7cc436d691afc602,4,4,False,31.0,31.0,31.0,31.0,31.0,31.0,66687.275705,66687.275705,,,66687.275705,66687.275705,0.014497035087858384,0.014497035087858384,1.0,,1.0,1.0,1.0,1.0,1.0,True
002001296e8a8c38ad9d7cc436d691afc602,5,4,False,24.0,31.0,544224.0,31.0,8514.0,31.0,155333.56941449997,66687.275705,32.730160296184906,,179870.560117,66687.275705,2.402509808895781,0.014497035087858384,2.3292834768305517,,2.697224593679329,165.72421838917535,0.7741935483870968,17555.612903225807,274.64516129032256,False
002001296e8a8c38ad9d7cc436d691afc602,6,4,False,21.0,31.0,544227.0,31.0,8511.0,31.0,153881.12180999998,66687.275705,32.62850420898785,,187276.850051,66687.275705,2.3899087408541795,0.014497035087858384,2.307503495730033,,2.808284610087297,164.8550014792877,0.6774193548387096,17555.709677419356,274.5483870967742,False
002001296e8a8c38ad9d7cc436d691afc602,7,4,False,17.0,31.0,544205.0,31.0,8507.0,31.0,209387.76997599998,66687.275705,32.37955409212132,,209387.76997599998,66687.275705,2.5083081790968857,0.014497035087858384,3.139845911568716,,3.139845911568716,173.02214997035182,0.5483870967741935,17555.0,274.4193548387097,False
002001296e8a8c38ad9d7cc436d691afc602,8,4,False,15.0,31.0,544209.0,31.0,8505.0,31.0,249645.09415,66687.275705,30.7012315865137,,258082.74023999998,66687.275705,2.5574538401046816,0.014497035087858384,3.7435191573027837,,3.870044735095541,176.4121990879784,0.4838709677419355,17555.129032258064,274.35483870967744,False
006c98de37d819e95b0840e25426bb7ca99d,5,5,False,11.0,11.0,1260120.0,1260120.0,9145.0,9145.0,78366.78641999999,78366.78641999999,30.247975879237284,30.247975879237284,100131.843408,100131.843408,7.343763126627268,7.343763126627268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
006c98de37d819e95b0840e25426bb7ca99d,6,5,False,12.0,11.0,1365097.0,1260120.0,9982.0,9145.0,142082.7069945,78366.78641999999,30.416529173846463,30.247975879237284,164275.616633,100131.843408,4.911122164891391,7.343763126627268,1.8130475101150643,1.0055723826044465,1.6405931524064528,0.6687473547566474,1.0909090909090908,1.0833071453512364,1.0915254237288134,True
006c98de37d819e95b0840e25426bb7ca99d,7,5,False,13.0,11.0,1467610.0,1260120.0,10462.0,9145.0,189982.596053,78366.78641999999,30.77239883394834,30.247975879237284,211528.597695,100131.843408,3.62991124035632,7.343763126627268,2.424274424560486,1.017337456126148,2.11250078392245,0.49428490240852996,1.1818181818181819,1.1646589213725678,1.1440131219245488,True
006c98de37d819e95b0840e25426bb7ca99d,8,5,False,13.0,11.0,1467636.0,1260120.0,10462.0,9145.0,236222.46362,78366.78641999999,30.62997891979301,30.247975879237284,265357.847123,100131.843408,3.1842754897334817,7.343763126627268,3.0143186215903532,1.0126290447361121,2.6500845094977983,0.43360269589685246,1.1818181818181819,1.1646795543281592,1.1440131219245488,True
00ca01c4aaeccee751ae6285beb54dea262f,5,5,False,4.0,4.0,4.0,4.0,4.0,4.0,90445.06938449999,90445.06938449999,,,90445.06938449999,90445.06938449999,0.009874387565997454,0.009874387565997454,1.0,,1.0,1.0,1.0,1.0,1.0,True
00ca01c4aaeccee751ae6285beb54dea262f,6,5,False,6.0,4.0,6.0,4.0,6.0,4.0,236014.8856635,90445.06938449999,,,236014.8856635,90445.06938449999,0.004840482788857258,0.009874387565997454,2.609483162207038,,2.609483162207038,0.49020587418763123,1.5,1.5,1.5,False
00ca01c4aaeccee751ae6285beb54dea262f,7,5,False,6.0,4.0,6.0,4.0,6.0,4.0,240048.8782555,90445.06938449999,,,240048.8782555,90445.06938449999,0.0045001101312143665,0.009874387565997454,2.6540847377207974,,2.6540847377207974,0.4557356191598695,1.5,1.5,1.5,False
00ca01c4aaeccee751ae6285beb54dea262f,8,5,False,7.0,4.0,7.0,4.0,7.0,4.0,195743.047631,90445.06938449999,,,195743.047631,90445.06938449999,0.004791544380375378,0.009874387565997454,2.1642202163487467,,2.1642202163487467,0.48524977861666135,1.75,1.75,1.75,False
0196085d85d2075a50b74cd8795ffbdcea9a,1,1,True,90.0,90.0,639856.0,639856.0,4105.0,4105.0,3031.4045515,3031.4045515,29.444962318394023,29.444962318394023,3088.825393,3088.825393,5.170035594336273,5.170035594336273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
0196085d85d2075a50b74cd8795ffbdcea9a,2,1,True,88.0,90.0,639849.0,639856.0,4103.0,4105.0,3257.140192,3031.4045515,30.459596112044817,29.444962318394023,3257.140192,3088.825393,2.559502127395848,5.170035594336273,1.0744656929370584,1.034458654851698,1.05449152269385,0.4950647013339249,0.9777777777777777,0.9999890600385086,0.9995127892813642,True
