run_id,artifact_id,artifact_name,category,concurrency,size_in_bytes,created_at,expires_at,expired,github_digest,workflow_run_head_sha,workflow_run_head_branch,download_timestamp_utc,download_status,local_archive_path,local_sha256,zip_validation,extraction_path,extracted_file_count,profile_export_found,aggregate_json_found,server_log_tar_found
"31235207041","9017974866","multinode_server_logs_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7","server_logs","8","28267013","2026-08-08T06:34:49Z","2026-11-06T02:32:54Z","false","sha256:a0f8ce452f6f082b5a15604a034b50cfdeaf60132c4d36d6e0ff15c0570147da","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:13:53Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc8/server_logs/9017974866.zip","sha256:a0f8ce452f6f082b5a15604a034b50cfdeaf60132c4d36d6e0ff15c0570147da","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc8/server_logs/9017974866","1","false","false","true"
"31235207041","9017975161","bmk_agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7","aggregate","8","2041","2026-08-08T06:34:51Z","2026-11-06T02:32:54Z","false","sha256:081ea77a9ed524f9acb794b5d4f4d92bf2ef7e2cf17d93ccdf2980a503655cf8","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:12:05Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc8/aggregate/9017975161.zip","sha256:081ea77a9ed524f9acb794b5d4f4d92bf2ef7e2cf17d93ccdf2980a503655cf8","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc8/aggregate/9017975161","1","false","true","false"
"31235207041","9017979109","agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7","raw_result","8","96954482","2026-08-08T06:35:12Z","2026-11-06T02:32:54Z","false","sha256:fbcb6b7763a8cec8be37bc13e3e305c8f667286ac7229fad41f4b6802ed44f8b","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T05:56:01Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc8/result/9017979109.zip","sha256:fbcb6b7763a8cec8be37bc13e3e305c8f667286ac7229fad41f4b6802ed44f8b","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc8/result/9017979109","14","true","false","false"
"31235207041","9019204997","multinode_server_logs_glm5.2_p2x1_d2x8_conc12_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc12_h200-dgxc-slurm_6","server_logs","12","33037531","2026-08-08T08:25:39Z","2026-11-06T02:32:54Z","false","sha256:2b42bf400bc980613de2276258b82ab8c412deb0e31a4267b176c7d1397ff78d","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:00:28Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc12/server_logs/9019204997.zip","sha256:2b42bf400bc980613de2276258b82ab8c412deb0e31a4267b176c7d1397ff78d","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc12/server_logs/9019204997","1","false","false","true"
"31235207041","9019205268","bmk_agentic_glm5.2_p2x1_d2x8_conc12_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc12_h200-dgxc-slurm_6","aggregate","12","2064","2026-08-08T08:25:41Z","2026-11-06T02:32:54Z","false","sha256:063689cc6bd0297cad573046f1427fbc4ffcb08179e013abef2c5cd083b39269","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:12:06Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc12/aggregate/9019205268.zip","sha256:063689cc6bd0297cad573046f1427fbc4ffcb08179e013abef2c5cd083b39269","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc12/aggregate/9019205268","1","false","true","false"
"31235207041","9019209525","agentic_glm5.2_p2x1_d2x8_conc12_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc12_h200-dgxc-slurm_6","raw_result","12","106428441","2026-08-08T08:26:05Z","2026-11-06T02:32:54Z","false","sha256:30c60b1d0abb044aa1707f2b12e15a4b17d3e743007f7a7296798e606cfd59cf","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:07:17Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc12/result/9019209525.zip","sha256:30c60b1d0abb044aa1707f2b12e15a4b17d3e743007f7a7296798e606cfd59cf","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc12/result/9019209525","14","true","false","false"
"31235207041","9020479786","multinode_server_logs_glm5.2_p2x1_d2x8_conc16_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc16_h200-dgxc-slurm_11","server_logs","16","34942548","2026-08-08T10:23:50Z","2026-11-06T02:32:54Z","false","sha256:363cecd0eef29d48152e6df275fc9379ab1d8124d6f205347a50ba88cc3f9cef","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:03:33Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc16/server_logs/9020479786.zip","sha256:363cecd0eef29d48152e6df275fc9379ab1d8124d6f205347a50ba88cc3f9cef","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc16/server_logs/9020479786","1","false","false","true"
"31235207041","9020480067","bmk_agentic_glm5.2_p2x1_d2x8_conc16_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc16_h200-dgxc-slurm_11","aggregate","16","2056","2026-08-08T10:23:52Z","2026-11-06T02:32:54Z","false","sha256:09d6fa6d20d50efcb7fe3ad3663d1b1cafe57e028562a3809f019e6c47878f30","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:12:08Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc16/aggregate/9020480067.zip","sha256:09d6fa6d20d50efcb7fe3ad3663d1b1cafe57e028562a3809f019e6c47878f30","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc16/aggregate/9020480067","1","false","true","false"
"31235207041","9020484364","agentic_glm5.2_p2x1_d2x8_conc16_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc16_h200-dgxc-slurm_11","raw_result","16","116084325","2026-08-08T10:24:17Z","2026-11-06T02:32:54Z","false","sha256:6068553b427c0f196aeae5401e685779286aad692854549d383f1fd794ccc23f","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","2026-08-10T06:11:14Z","downloaded_and_verified","data/raw/h200_gpu_resident_mtp/conc16/result/9020484364.zip","sha256:6068553b427c0f196aeae5401e685779286aad692854549d383f1fd794ccc23f","github_digest_match_and_zip_crc_pass","data/raw/h200_gpu_resident_mtp/conc16/result/9020484364","14","true","false","false"
"31235207041","9020485808","changelog-metadata","other","","880","2026-08-08T10:24:26Z","2026-11-06T02:32:54Z","false","sha256:6c6ec92f02e645558255a93d4267510c228b0d2a199ce44b34f0190116134ddd","48ec5aa103dbf8e671580cd191eeef7e7186c802","agent/refresh-glm52-h200-sglang-agentic-mtp-2p2d","","not_selected","","","not_applicable","","0","false","false","false"
